word	defn	main_meaning	other meaning
事业	 事業	 sự nghiệp	 sự nghiệp/công cuộc/hành chính sự nghiệp
事实	 事實	 sự thật	 sự thật/sự thực
女子	 女子	 nữ tử	 nữ tử/con gái/giới nữ/phái nữ/trinh nữ/xử nữ/gái trinh
真实	 真實	 chân thật	 chân thật/chân thực
出版	 出版	 xuất bản	 xuất bản
立即	 立即	 lập tức	 lập tức/ngay
感谢	 感謝	 cảm tạ	 cảm tạ/cảm ơn
周围	 周圍	 chu vi	 chung quanh/chu vi/xung quanh
速度	 速度	 tốc độ	 tốc độ/mức độ nhanh chậm
理由	 理由	 lí do/lý do	 lý do/cớ
农村	 農村	 nông thôn	 nông thôn
优秀	 優秀	 ưu tú	 vĩ đại/ưu tú/xuất sắc
兴趣	 興趣	 hứng thú	 hứng thú/thích thú
结构	 結構	 kết cấu	 kết cấu/cấu hình/cơ cấu/cấu tạo/khung/giàn khung
关心	 關心	 quan tâm	 quan tâm/lo lắng/trông nom/chú ý
业务	 業務	 nghiệp vụ	 nghiệp vụ
压力	 壓力	 áp lực	 áp lực/lực nén/sức nén
分别	 分別	 phân biệt	 phân biệt/ly biệt/chia tay/biệt ly/xa cách/bất đồng/khác nhau/chia nhau/phân công nhau
人才	 人才	 nhân tài	 nhân tài/người có tài/đoan chính/đẹp đẽ/ra người/dễ coi
销售	 銷售	 tiêu thụ	 tiêu thụ
参与	 參與	 tham dự	 tham dự/dự cuộc/tham gia
成立	 成立	 thành lập	 thành lập/lập/kiện lập/đứng vững được/trụ lại được/cố thủ được/củng cố/làm vững chắc/bảo vệ được
阶段	 階段	 giai đoạn	 giai đoạn/bước/trình tự
老婆	 老婆	 lão bà	 lão bà/vợ
美女	 美女	 mỹ nữ	 mỹ nữ/con gái đẹp
可爱	 可愛	 khả ái	 đáng yêu/khả ái/dễ thương
小学	 小學	 tiểu học	 tiểu học/bậc tiểu học
专门	 專門	 chuyên môn	 chuyên môn/đặc biệt/riêng biệt/chuyên biệt/chỉ/chuyên/sở trường/hay/thường
观点	 觀點	 quan điểm	 quan điểm/điểm nhìn/quan điểm chính trị
读者	 讀者	 độc giả	 độc giả/người đọc
便宜	 便宜	 tiện nghi	 tiện nghi/tiện lợi/tuỳ nghi/thuận tiện/rẻ/hời/lợi/bở/làm được lợi
家长	 家長	 gia trưởng	 cha mẹ/gia trưởng/phụ huynh/người giám hộ
形象	 形象	 hình tượng	 hình tượng/hình ảnh
公共	 公共	 công cộng	 công cộng/phổ biến/bình dân/cộng đồng
想象	 想象	 tưởng tượng	 tưởng tượng/nghĩ ra/tưởng tượng ra
重点	 重點	 trọng điểm	 trọng điểm/điểm tựa/điểm đặt/có trọng điểm
回忆	 回憶	 hồi ức	 nhớ lại/hồi ức/hồi tưởng/kỷ niệm
正确	 正確	 chính xác	 chính xác/đúng đắn
学员	 學員	 học viên	 đệ tử/học viên
演出	 演出	 diễn xuất	 diễn xuất
中央	 中央	 trung ương	 trung ương/giữa/trung tâm/chính quyền trung ương/chỗ giữa
承认	 承認	 thừa nhận	 thừa nhận/chấp nhận/đồng ý/thú nhận/chấp thuận/công nhận
天下	 天下	 thiên hạ	 thiên hạ/thế giới/quyền thống trị của nhà nước
动作	 動作	 động tác	 động tác/hoạt động/làm việc
报名	 報名	 báo danh	 báo danh/đăng ký/ghi tên/đăng ký tham gia
群众	 群眾	 quần chúng	 quần chúng
热情	 熱情	 nhiệt tình	 nhiệt tình/niềm nở/nhiệt huyết/có nhiệt tình
利益	 利益	 lợi ích	 ích lợi/lợi ích/quyền lợi
宣传	 宣傳	 tuyên truyền	 tuyên truyền
弟弟	 弟弟	 đệ đệ	 đệ đệ/em trai/em/đệ
积极	 積極	 tích cực	 tích cực/hăng hái/tiến thủ/nhiệt tâm
人民币	 人民幣	 nhân dân tệ	 nhân dân tệ
拒绝	 拒絕	 cự tuyệt	 cự tuyệt/từ chối/khước từ
女性	 女性	 nữ tính	 nữ tính/phụ nữ
增长	 增長	 tăng trưởng	 tăng trưởng/nâng cao/tăng thêm/tăng lên
西方	 西方	 tây phương	 phương Tây/phương tây/phía tây/Tây Phương
确定	 確定	 xác định	 xác định/khẳng định/làm cho xác định
范围	 範圍	 phạm vi	 phạm vi/hạn chế/giới hạn
的确	 的確	 đích xác	 đích xác/đích thực/hoàn toàn chính xác/quả thực/quả là
独立	 獨立	 độc lập	 độc lập/lẻ loi/đứng một mình/tách ra/không lệ thuộc/không phụ thuộc
本身	 本身	 bản thân	 thân mình/bản thân/ta/mình/chính mình
丰富	 豐富	 phong phú	 phong phú/dồi dào/nhiều/dư dật/làm giàu thêm/làm phong phú
民主	 民主	 dân chủ	 dân chủ
干部	 幹部	 cán bộ	 cán bộ/công nhân viên chức
统一	 統一	 thống nhất	 thống nhất/nhất trí/chỉnh thể/đơn nhất
主席	 主席	 chủ tịch	 chủ tịch/người chủ trì hội nghị
方便	 方便	 phương tiện	 phương tiện/thuận tiện/thuận lợi/làm cho thuận tiện/làm cho tiện lợi/tiện/giàu có/dồi dào/dư dật/đại tiểu tiện
同事	 同事	 đồng sự	 đồng sự/bạn đồng sự/người cùng làm việc với nhau/đồng nghiệp/làm chung/làm việc chung/làm việc với nhau/cùng làm việc
表情	 表情	 biểu tình	 biểu tình/vẻ mặt/diễn cảm/biểu cảm/diễn xuất/nét mặt/biểu lộ tình cảm
最高	 最高	 tối cao	 cao nhất/tối cao
反应	 反應	 phản ứng	 phản ứng/phản ứng hoá học/phản ứng thuốc/tác dụng phụ/hiệu quả
动物	 動物	 động vật	 động vật/loài vật/thú vật
特点	 特點	 đặc điểm	 đặc điểm
将来	 將來	 tương lai	 tương lai/sau này/mai sau
颜色	 顏色	 nhan sắc	 nhan sắc/màu sắc/cho biết tay/màu/thuốc nhuộm
适合	 適合	 thích hợp	 thích hợp/phù hợp/hợp
创造	 創造	 sáng tạo	 sáng tạo/tạo ra/lập/đặt ra/tạo nên/tạo thành
总统	 總統	 tổng thống	 tổng thống
死亡	 死亡	 tử vong	 tử vong/chết/bỏ mạng
特殊	 特殊	 đặc thù	 đặc thù/đặc biệt
反对	 反對	 phản đối	 phản đối/không tán thành/không đồng ý
兴奋	 興奮	 hưng phấn	 hưng phấn/phấn khởi/hăng hái/làm cho phấn chấn/kích thích
竞争	 競爭	 cạnh tranh	 cạnh tranh/đua tranh/ganh đua
地位	 地位	 địa vị	 địa vị/nơi/chỗ/vị trí
理想	 理想	 lí tưởng/lý tưởng	 lý tưởng/ước vọng/hy vọng/tốt
怀疑	 懷疑	 hoài nghi	 hoài nghi/nghi/ngờ/ngờ vực/nghi ngờ/không tin tưởng/đoán/đoán chừng
感动	 感動	 cảm động	 cảm động/xúc động/làm cảm động/làm xúc động/làm rung động
版权	 版權	 bản quyền	 bản quyền/tác quyền/quyền tác giả/copyright
土地	 土地	 thổ địa	 thổ địa/ruộng đất/ruộng nương/cương vực/đất đai/thổ thần/thổ công
答应	 答應	 đáp ứng	 đáp ứng/đáp lại/trả lời/bằng lòng/đồng ý/ưng thuận
中学	 中學	 trung học	 trung học/giáo dục trung học
追求	 追求	 truy cầu	 theo đuổi/truy cầu/đuổi theo/chạy theo/theo đuổi tình yêu
制作	 製作	 chế tác	 chế tác/chế tạo/chế ra/làm ra
调整	 調整	 điều chỉnh	 điều chỉnh/điều hoà
反映	 反映	 phản ánh	 phản ánh/miêu tả/báo cáo/phản ứng
恢复	 恢復	 khôi phục	 khôi phục/bình phục/thu hồi/phục hồi/lấy lại/giành lại
接触	 接觸	 tiếp xúc	 tiếp xúc/kề nhau/gần nhau/giao thiệp/qua lại/đi lại/va chạm/chạm trán
危险	 危險	 nguy hiểm	 nguy hiểm/nguy cơ/có khả năng thất bại/tổn thất/mối nguy
外国	 外國	 ngoại quốc	 ngoại quốc/nước ngoài
治疗	 治療	 trị liệu	 trị liệu/điều trị/chữa bệnh
学院	 學院	 học viện	 học viện
设备	 設備	 thiết bị	 thiết bị/dụng cụ/trang bị
显然	 顯然	 hiển nhiên	 hiển nhiên/rõ ràng/dễ nhận thấy
答案	 答案	 đáp án	 đáp án/câu trả lời/lời giải
表演	 表演	 biểu diễn	 biểu diễn/diễn/trình diễn/trình bày/phô bày/trưng bày/làm mẫu/làm động tác mẫu/thao diễn/thực hiện
吸引	 吸引	 hấp dẫn	 hấp dẫn/thu hút
男生	 男生	 nam sinh	 nam sinh/học sinh nam
转载	 轉載	 chuyển tải	 đăng lại/in lại/chuyển tải
人士	 人士	 nhân sĩ	 nhân sĩ
全球	 全球	 toàn cầu	 toàn cầu/toàn thế giới
男子	 男子	 nam tử	 nam tử/đàn ông/nam giới
弟子	 弟子	 đệ tử	 đệ tử/đồ đệ/học sinh
爷爷	 爺爺	 gia gia	 ông nội/gia gia/ông
集中	 集中	 tập trung	 tập trung/tập hợp
特色	 特色	 đặc sắc	 đặc sắc
机构	 機構	 cơ cấu	 cơ cấu/máy/đơn vị/cơ quan/tổ chức nội bộ/tổ chức bên trong/cơ cấu bên trong/cơ cấu nội bộ
概念	 概念	 khái niệm	 khái niệm/quan niệm/ý niệm/nhận thức
地点	 地點	 địa điểm	 địa điểm/nơi/chỗ
距离	 距離	 cự li/cự ly	 khoảng cách/cự ly/cách
有效	 有效	 hữu hiệu	 hữu hiệu/hiệu quả/hiệu nghiệm
始终	 始終	 thủy chung	 thủy chung/từ đầu đến cuối/trước sau
必要	 必要	 tất yếu	 tất yếu/cần phải/cần thiết/thiết yếu/không thể thiếu/không thể khác/vật cần thiết/điều cần thiết
出口	 出口	 xuất khẩu	 nói ra/xuất khẩu/ra khỏi miệng/mở miệng/nói/ra cảng/cửa ra/lối ra/đều theo nghĩa ấy cả
数学	 數學	 số học	 toán học/số học/toán
风格	 風格	 phong cách	 phong cách/tác phong
原则	 原則	 nguyên tắc	 nguyên tắc/đại thể/cơ bản
文明	 文明	 văn minh	 văn minh/nền văn minh/nếp sống mới/hiện đại/thời xưa chỉ mang màu sắc hiện đại của Phương tây
对面	 對面	 đối diện	 đối diện/trước mặt/phía trước/mặt đối mặt/gặp mặt/giáp mặt/đối mặt/ba mặt một lời
移民	 移民	 di dân	 di dân/dân di cư
体育	 體育	 thể dục	 thể dục/thể thao/hoạt động thể dục
长期	 長期	 trường kì	 trường kỳ/thời gian dài/dài hạn
作家	 作家	 tác gia	 tác gia/tác giả/nhà văn
结合	 結合	 kết hợp	 kết hợp/gắn liền/kết nghĩa vợ chồng/se duyên
全面	 全面	 toàn diện	 toàn diện/toàn bộ/mọi mặt
第四	 第四	 đệ tứ	 đệ tứ/thứ tư
主动	 主動	 chủ động	 chủ động
果然	 果然	 quả nhiên	 quả nhiên/quả là/đúng là/thật sự/thực sự
儿童	 兒童	 nhi đồng	 nhi đồng/thiếu nhi/trẻ em
随便	 隨便	 tùy tiện	 tùy tiện/tuỳ/tuỳ thích/tuỳ ý/mặc sức/tha hồ/tuỳ tiện/bất cứ
博士	 博士	 bác sĩ	 bác sĩ/tiến sĩ
程序	 程序	 trình tự	 trình tự/chương trình/thủ tục/thứ tự
大部分	 大部分	 đại bộ phận	 đại bộ phận/phần lớn
妇女	 婦女	 phụ nữ	 con gái/phụ nữ/đàn bà con gái
通常	 通常	 thông thường	 bình thường/thông thường/thường thường
演员	 演員	 diễn viên	 diễn viên
生日	 生日	 sinh nhật	 sinh nhật/ngày sinh/ngày ra đời/ngày thành lập
方案	 方案	 phương án	 phương án/kế hoạch/kế hoạch công tác/dự án/đề án
返回	 返回	 phản hồi	 phản hồi/về/trở về
校长	 校長	 hiệu trưởng	 hiệu trưởng
家人	 家人	 gia nhân	 người nhà/thành viên trong gia đình/người trong nhà/gia đình/thường dân/người bình thường/gia nhân
导演	 導演	 đạo diễn	 đạo diễn/người đạo diễn/nhà đạo diễn
生气	 生氣	 sinh khí	 sinh khí/tức giận/giận/không vui/sức sống
内心	 內心	 nội tâm	 nội tâm/trong lòng/đáy lòng
领域	 領域	 lĩnh vực	 lĩnh vực/khu vực/vùng/địa hạt/đất đai/phạm vi
观察	 觀察	 quan sát	 quan sát/xem xét/theo dõi
访问	 訪問	 phỏng vấn	 phỏng vấn/thăm/viếng thăm
伟大	 偉大	 vĩ đại	 vĩ đại/lớn lao
因素	 因素	 nhân tố	 nhân tố
官员	 官員	 quan viên	 quan viên/quan chức/cán bộ/nhân viên/viên chức
双方	 雙方	 song phương	 song phương/hai bên/đôi bên
权利	 權利	 quyền lợi	 quyền lợi/quyền/lợi ích
应用	 應用	 ứng dụng	 ứng dụng/hữu ích/thiết thực/sử dụng
在家	 在家	 tại gia	 ở nhà/tại gia/có nhà
强调	 強調	 cường điệu	 cường điệu/nhấn mạnh
稳定	 穩定	 ổn định	 ổn định/làm cho ổn định/không thay đổi
对象	 對象	 đối tượng	 đối tượng/người yêu
复杂	 復雜	 phức tạp	 phức tạp
说法	 說法	 thuyết pháp	 cách nói/thuyết pháp/ý kiến/kiến giải
经典	 經典	 kinh điển	 kinh điển/kinh/tác phẩm kinh điển/kiệt tác
执行	 執行	 chấp hành	 chấp hành/thực thi/thực hành/thi hành/thực hiện
各位	 各位	 các vị	 các vị/mọi người/các ngài
商业	 商業	 thương nghiệp	 buôn bán/thương nghiệp/thương mại
消费	 消費	 tiêu phí	 tiêu phí/chi phí/tiêu dùng
英雄	 英雄	 anh hùng	 anh hùng/người anh hùng/phẩm chất anh hùng
相对	 相對	 tương đối	 tương đối/trái ngược nhau/đối lập nhau
工具	 工具	 công cụ	 công cụ/phương tiện
游客	 遊客	 du khách	 du khách/người đi du lịch
指导	 指導	 chỉ đạo	 chỉ đạo/hướng dẫn/chỉ bảo
人口	 人口	 nhân khẩu	 dân cư/nhân khẩu/dân số/số người
语文	 語文	 ngữ văn	 ngữ văn/ngôn ngữ và chữ viết/ngôn ngữ và văn học
照顾	 照顧	 chiếu cố	 chiếu cố/xem xét/suy nghĩ/chú ý/chăm sóc/săn sóc/trông nom/chú ý đặc biệt/chiều khách/chiều khách hàng
明确	 明確	 minh xác	 minh xác/rõ ràng/đúng đắn/làm sáng tỏ/xác định rõ
公开	 公開	 công khai	 công khai/đưa ra công khai
夫人	 夫人	 phu nhân	 phu nhân/vợ/bà xã
南京	 南京	 nam kinh	 Nam Kinh
主人	 主人	 chủ nhân	 chủ nhân/chủ/người chủ/ông chủ/chủ sở hữu
手段	 手段	 thủ đoạn	 thủ đoạn/phương tiện/phương pháp/mánh khoé/bản lĩnh/tài năng
最多	 最多	 tối đa	 nhiều nhất/tối đa
意识	 意識	 ý thức	 ý thức/hiểu biết/cảm thấy
宣布	 宣布	 tuyên bố	 tuyên bố/bảo khắp mọi nơi
学者	 學者	 học giả	 học giả
激动	 激動	 kích động	 kích động/xúc động/làm xúc động/khuấy động/xao động
礼物	 禮物	 lễ vật	 lễ vật/quà biếu/quà tặng/tặng phẩm
成员	 成員	 thành viên	 thành viên/hội viên
病人	 病人	 bệnh nhân	 người bệnh/bệnh nhân/người cần được chữa trị
空气	 空氣	 không khí	 không khí/bầu không khí/môi trường
学术	 學術	 học thuật	 học thuật
彻底	 徹底	 triệt để	 hoàn toàn/triệt để/đến cùng/thẳng thắn/thẳng thừng/hệt như/rốt ráo
和平	 和平	 hòa bình	 hòa bình/BÌNH/hoà bình/ôn hoà/lành/nhã nhặn/êm dịu/bình tĩnh/trấn tĩnh/yên tĩnh/bình thản/Hoà Bình/tỉnh Hoà Bình
聪明	 聰明	 thông minh	 thông minh/nhạy bén/minh mẫn/khôn ngoan/sắc sảo
创作	 創作	 sáng tác	 sáng tác/viết/vẽ/soạn/thảo/hư cấu/tác phẩm/vật được sáng tạo
减少	 減少	 giảm thiểu	 giảm bớt/giảm thiểu
敌人	 敵人	 địch nhân	 địch nhân/quân địch/bên địch/kẻ địch/quân giặc
高级	 高級	 cao cấp	 cao cấp/cấp cao/bậc cao/hảo hạng/thượng đẳng
流行	 流行	 lưu hành	 lưu hành/thịnh hành/phổ biến
更新	 更新	 canh tân	 đổi mới/canh tân/thay mới/rừng tái sinh
体现	 體現	 thể hiện	 thể hiện/nói lên
食品	 食品	 thực phẩm	 thực phẩm/đồ ăn
发挥	 發揮	 phát huy	 phát huy/phát triển/khai triển
论文	 論文	 luận văn	 luận văn
居民	 居民	 cư dân	 cư dân/dân
练习	 練習	 luyện tập	 luyện tập/ôn tập/bài tập/tập
移动	 移動	 di động	 di động/chuyển dời/di chuyển
一时	 一時	 nhất thời	 nhất thời/một thời/một lúc/tạm thời/trong chốc lát/trong một lúc/lúc thì... lúc thì
海外	 海外	 hải ngoại	 hải ngoại/ngoài nước/ở nước ngoài
秘密	 祕密	 bí mật	 bí mật/kín/chuyện bí mật/việc bí mật
邮件	 郵件	 bưu kiện	 bưu kiện/bưu phẩm
失败	 失敗	 thất bại	 thất bại/thua
重大	 重大	 trọng đại	 trọng đại/to lớn/lớn lao/quan trọng
少年	 少年	 thiếu niên	 thiếu niên/niên thiếu/tuổi trẻ
不足	 不足	 bất túc	 không đủ/bất túc/thiếu/chưa tới/chưa đủ số/không đầy/chưa đủ/không đáng/không thể
